"uid","tournesol_score"
"yt:00000000081",22.71457553804343
"yt:00000000082",27.762886187542904
"yt:00000000083",-11.217525391484818
"yt:00000000084",-12.512712228415522
"yt:00000000085",-7.246711064675232
"yt:00000000086",-6.23176580376505
"yt:00000000087",-6.16735609160467
"yt:00000000088",-11.092340005218588
"yt:00000000089",12.158773926225292
"yt:00000000090",10.025144235492064
"yt:00000000091",-2.9831080787966138
"yt:00000000092",36.629407562374034
"yt:00000000093",-14.724335680728604
"yt:00000000094",13.95575983974371
"yt:00000000095",-15.176682529779278
"yt:00000000096",-2.213999816052634
"yt:00000000097",-12.692110000536868
"yt:00000000098",-5.8405479640503675
"yt:00000000099",-9.967036783408732
"yt:00000000100",-6.722670343866613
"yt:00000000101",7.629888530348938
"yt:00000000102",3.59192679784047
"yt:00000000103",3.3574671972844703
"yt:00000000104",-14.725550966214206
"yt:00000000105",2.3783065465315243
"yt:00000000106",5.276103809276101
"yt:00000000107",-6.5218192452787145
"yt:00000000108",-4.244235940929532
"yt:00000000109",-14.655866478451635
"yt:00000000110",14.57512790497602
"yt:00000000111",-6.168706355437343
"yt:00000000112",66.76353309300727
"yt:00000000113",14.386508344196214
"yt:00000000114",-15.03326984764814
"yt:00000000115",-7.394905650898162
"yt:00000000116",-5.337487173827848
"yt:00000000117",-9.213238205393372
"yt:00000000118",""
"yt:00000000119",-11.438337547789322
"yt:00000000120",3.385812620095704
"yt:00000000121",-14.251518725003688
"yt:00000000122",-11.953618567483781
"yt:00000000123",""
"yt:00000000124",2.6488330432995375
"yt:00000000125",-22.01260879475381
"yt:00000000126",-8.735767911809736
"yt:00000000127",-28.539294500588205
"yt:00000000128",-9.97522729624004
"yt:00000000129",11.540294549898181
"yt:00000000130",4.041816515047695
"yt:00000000131",1.0459574860634844
"yt:00000000132",5.487289180559866
"yt:00000000133",2.4237951968770055
"yt:00000000134",-5.444130551394036
"yt:00000000135",-7.710390266186994
"yt:00000000136",6.286649840017896
"yt:00000000137",46.07079484254506
"yt:00000000138",-13.429875464171278
"yt:00000000139",-6.464382934834811
"yt:00000000140",-12.84867931270269
"yt:00000000141",-6.872750478241714
"yt:00000000142",-12.033786591516435
"yt:00000000143",-14.589844926175752
"yt:00000000144",-22.443796144948674
"yt:00000000145",-11.352131042758135
"yt:00000000146",""
"yt:00000000147",-8.192775709327988
"yt:00000000148",14.632442246092655
"yt:00000000149",-24.91386069369898
"yt:00000000150",25.283093265841355
"yt:00000000151",5.606452888361014
"yt:00000000152",-15.156364338085076
"yt:00000000153",-27.388152964232056
"yt:00000000154",-5.854838867773205
"yt:00000000155",""
"yt:00000000156",3.5225183586180377
"yt:00000000157",-1.9360358972918603
"yt:00000000158",-5.071556210269066
"yt:00000000159",14.652192285621645
"yt:00000000160",-5.837874814536806
"yt:00000000161",-4.816992773782611
"yt:00000000162",-5.823280094671865
"yt:00000000163",-11.214991785503685
"yt:00000000164",-8.028009758793544
"yt:00000000165",-8.97172485672292
"yt:00000000166",-0.07868667171315814
"yt:00000000167",-28.477886944593322
"yt:00000000168",-13.716086380076248
"yt:00000000169",13.845458801227823
"yt:00000000170",-10.039125549413498
"yt:00000000171",-2.105672058310547
"yt:00000000172",-12.223203864065171
"yt:00000000173",-2.101915517004727
"yt:00000000174",5.345352381203352
"yt:00000000175",61.099899444225436
"yt:00000000176",19.071751213072503
"yt:00000000177",-5.5526212230841265
"yt:00000000178",1.9280106742478407
"yt:00000000179",-8.13682753294211
"yt:00000000180",-15.172293486601166
"yt:00000000181",32.86520941322921
"yt:00000000182",56.60935417741119
"yt:00000000183",-10.89815649811528
"yt:00000000184",3.4926670891818983
"yt:00000000185",10.059626665074724
"yt:00000000186",-1.9410471738336983
"yt:00000000187",5.690286053865608
"yt:00000000188",-1.7401579086115198
"yt:00000000189",-4.67845117284379
"yt:00000000190",-11.830734544470207
"yt:00000000191",-38.80904290413406
"yt:00000000192",-4.860319531184617
"yt:00000000193",-28.30302691207298
"yt:00000000194",11.924253878780885
"yt:00000000195",-12.138613290417645
"yt:00000000196",-10.894243980567817
